ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
10,80608,23,4127700,8.0,0.8888888955116272,-5.318789005279541,1.237054141270998,2,2016
10,38409,28,4106902,32.0,0.9411764740943909,0.7765184640884399,3.183045037770694,4,2016
10,870,36,4106902,51.0,0.9807692170143127,-0.0941263735294342,2.788239282259898,3,2016
10,859,38,4106902,37.0,0.9024389982223511,0.31951603293418884,3.080630109888577,4,2016
10,57944,3501,4106902,44.0,0.6285714507102966,-0.05368996784090996,2.7020142240840355,3,2016
11,953,27,2611606,7.0,1.0,0.49067509174346924,2.456390096155704,3,2016
11,52977,36,2611606,25.0,0.9259259104728699,0.0780782699584961,2.75331858427075,3,2016
11,957,38,2611606,30.0,0.6818181872367859,0.22729745507240295,2.633520475508281,3,2016
12,1026,12,4315602,61.0,0.9682539701461792,-0.43328267335891724,2.6913236924837007,3,2016
12,1043,23,4315602,31.0,0.96875,-0.3929952383041382,3.082069402444754,4,2016
12,1103532,92,4315602,19.0,1.0,-3.1281545162200928,2.3372253336108004,3,2016
12,1103533,92,4318804,9.0,0.8999999761581421,2.6900901794433594,3.728268390880678,4,2016
13,1107,12,4305108,73.0,0.948051929473877,0.211875781416893,2.863716959902726,3,2016
13,88562,17,4305108,12.0,0.3636363744735718,0.44399726390838623,3.159635008505484,4,2016
13,88564,17,4322509,18.0,0.529411792755127,-1.0036277770996094,2.274389971475355,3,2016
13,70604,19,4305108,14.0,0.4117647111415863,4.320662975311279,3.7465547075734884,4,2016
13,45693,23,4305108,16.0,0.4571428596973419,-0.7020885348320007,2.417734315780804,3,2016
13,72777,28,4305108,19.0,0.59375,0.8830233812332153,3.1163672510088958,4,2016
13,50302,36,4305108,31.0,0.5740740895271301,0.24470092356204987,2.914140438673834,3,2016
13,1098,38,4305108,6.0,0.3529411852359772,4.104634761810303,3.9856450544883377,5,2016
13,1168449,69,4305108,6.0,0.6666666865348816,1.949966311454773,2.788824361387184,3,2016
13,66131,3501,4305108,24.0,0.23999999463558197,-0.14490212500095367,2.710961525730455,3,2016
14,116200,19,4318705,16.0,0.5714285969734192,2.157576322555542,3.8307759018157426,4,2016
14,1225,23,4318705,30.0,0.5769230723381042,0.8813956379890442,3.343673150030183,4,2016
14,1121183,23,4314902,7.0,0.699999988079071,5.100443363189697,4.091412763503511,5,2016
