ies,orgacad,catadm,curso,area,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano,adm
191,Faculdade,Privada,5348,1,3304557,51,36,1.5160095691680908,17.0,0.4722222089767456,-2.3620638847351074,1.8202454921206928,2,2015,priv
195,Faculdade,Privada,5381,1,3304557,96,75,2.877596139907837,33.0,0.4399999976158142,-0.7108302712440491,2.7127238929688704,3,2015,priv
197,Faculdade,Privada,34701,1,4106902,73,38,2.7822508811950684,31.0,0.8157894611358643,0.23186422884464264,2.4509930413236996,3,2015,priv
202,Faculdade,Privada,5469,1,3304557,197,180,1.4965169429779053,72.0,0.4000000059604645,-0.41671040654182434,2.001790301865391,3,2015,priv
203,Universidade,Privada,5474,1,3550308,429,392,3.3537089824676514,260.0,0.6632652878761292,0.2935788631439209,3.20522965659654,4,2015,priv
203,Universidade,Privada,115867,1,3550308,215,182,3.241884231567383,134.0,0.7362637519836426,0.025019554421305656,3.0345067018117486,4,2015,priv
206,Centro Universitário,Privada,5567,1,3550308,365,318,1.4466168880462646,100.0,0.31446540355682373,-0.3293955624103546,2.7324259589275623,3,2015,priv
207,Centro Universitário,Privada,5577,1,3543402,94,93,2.953747272491455,61.0,0.6559139490127563,0.4086325466632843,2.9430128306503076,3,2015,priv
208,Universidade,Privada,89457,1,3543402,72,63,3.2696316242218018,13.0,0.2063492089509964,1.900331735610962,3.6261173816517003,4,2015,priv
208,Universidade,Privada,89459,1,3518701,63,58,2.075161933898926,10.0,0.17241379618644714,,2.376628225083711,3,2015,priv
213,Centro Universitário,Privada,45365,1,3550308,161,142,3.867155075073242,63.0,0.44366195797920227,-0.5235683917999268,3.004902658899075,4,2015,priv
216,Centro Universitário,Privada,99314,1,3106200,63,32,1.5630382299423218,12.0,0.375,-1.1952054500579834,2.202310130544035,3,2015,priv
216,Centro Universitário,Privada,1128912,1,3106200,74,52,2.049682855606079,37.0,0.7115384340286255,-0.5232906937599182,2.421396451006635,3,2015,priv
217,Centro Universitário,Estadual,5788,1,3549102,83,80,2.3739776611328125,47.0,0.5874999761581421,-0.22618119418621063,2.36958532604479,3,2015,pub
219,Faculdade,Privada,91171,1,3531407,70,62,1.7750637531280518,28.0,0.4516128897666931,-0.5049048662185669,2.004399190505743,3,2015,priv
220,Faculdade,Privada,18150,1,3304557,53,43,1.6245436668395996,24.0,0.5581395626068115,-0.6085590720176697,2.049077769910356,3,2015,priv
