area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
22,CIÊNCIAS CONTÁBEIS,1893,Faculdade Unirb - Feira de Santana,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51142,7,2.418203033,3,2018
1,ADMINISTRAÇÃO,1893,Faculdade Unirb - Feira de Santana,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51149,26,1.918142749,2,2018
1,ADMINISTRAÇÃO,1894,FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING,Privada com fins lucrativos,51153,23,2.127246809,3,2018
22,CIÊNCIAS CONTÁBEIS,1895,CENTRO UNIVERSITÁRIO CHRISTUS,Privada com fins lucrativos,51158,20,3.752490114,4,2018
1,ADMINISTRAÇÃO,1898,FACULDADE DO LITORAL SUL PAULISTA,Privada com fins lucrativos,51167,32,1.590544006,2,2018
1,ADMINISTRAÇÃO,1900,FACULDADE ANCHIETA DE ENSINO SUPERIOR DO PARANÁ,Privada sem fins lucrativos,51178,29,1.902975093,2,2018
22,CIÊNCIAS CONTÁBEIS,1900,FACULDADE ANCHIETA DE ENSINO SUPERIOR DO PARANÁ,Privada sem fins lucrativos,51184,19,1.950673461,3,2018
1,ADMINISTRAÇÃO,1904,FACULDADE SÃO CAMILO,Privada sem fins lucrativos,51212,122,1.930623969,2,2018
22,CIÊNCIAS CONTÁBEIS,1907,FACULDADE EDUCACIONAL DE COLOMBO,Privada com fins lucrativos,51220,25,2.131999703,3,2018
1,ADMINISTRAÇÃO,1907,FACULDADE EDUCACIONAL DE COLOMBO,Privada com fins lucrativos,51222,39,2.206898596,3,2018
1,ADMINISTRAÇÃO,5550,FACULDADE ANHANGUERA DE ANÁPOLIS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,51251,14,2.832402381,3,2018
1,ADMINISTRAÇÃO,1913,CENTRO UNIVERSITÁRIO FAMINAS,Privada com fins lucrativos,51260,33,2.646065805,3,2018
1,ADMINISTRAÇÃO,1918,FACULDADE CAPIVARI,Privada com fins lucrativos,51276,24,1.630327351,2,2018
22,CIÊNCIAS CONTÁBEIS,1918,FACULDADE CAPIVARI,Privada com fins lucrativos,51277,40,1.777013819,2,2018
2,DIREITO,1923,FACULDADE DE DIREITO PADRE ARNALDO JANSSEN,Privada sem fins lucrativos,51293,79,2.938064365,3,2018
2,DIREITO,1189,UNIVERSIDADE DO PLANALTO CATARINENSE,Privada sem fins lucrativos,51299,147,1.908638243,2,2018
1,ADMINISTRAÇÃO,1925,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS SANTO AGOSTINHO,Privada com fins lucrativos,51314,106,2.418858346,3,2018
22,CIÊNCIAS CONTÁBEIS,3840,CENTRO UNIVERSITÁRIO FACVEST,Privada com fins lucrativos,51334,10,1.973937999,3,2018
2,DIREITO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,51373,22,2.141519054,3,2018
