area,ies,municipio,Ncursos,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
5401,449,4304606,1,14,6,0.0,0,0.0,,0.7233511970576683,1,2014
5401,528,3304557,1,44,31,3.532279659883245,10,0.3225806451612903,0.47492734642034834,3.1708261949969803,4,2014
5401,546,3550308,1,81,68,3.0624394184972332,29,0.4264705882352941,-1.7720457870683424,2.791815910309273,3,2014
5401,547,3304557,1,27,20,2.157776325944991,9,0.45,-2.290563847897661,2.2568025237002054,3,2014
5401,548,2111300,1,11,10,3.1508634695064734,3,0.3,4.653830353483876,3.8194886459918287,4,2014
5401,549,1200401,1,126,45,2.534692336522766,22,0.4888888888888889,0.6171484960315524,2.191782287844845,3,2014
5401,569,1501402,1,334,108,2.1895859300379916,47,0.4351851851851852,-4.261381423783447,1.3464802291523061,2,2014
5401,570,2408102,1,56,38,2.843831993812861,16,0.42105263157894735,0.24143583789821887,2.6256,3,2014
5401,571,4106902,1,85,53,4.794364868090607,29,0.5471698113207547,0.5396163130576416,3.4934959750472343,4,2014
5401,572,3301009,1,57,39,2.2116479994384104,32,0.8205128205128205,-0.03940082257948185,,,2014
5401,572,3303302,1,95,66,1.44069537018463,28,0.42424242424242425,-0.573853572648656,2.521564376715275,3,2014
5401,573,3205309,1,88,42,1.4008330484678337,7,0.16666666666666666,,2.2264174455543815,3,2014
5401,574,3305554,1,13,12,3.1045187442152127,6,0.5,-0.22900435072364544,2.8356105090039283,3,2014
5401,575,3106200,1,84,75,3.756574319126543,21,0.28,0.23332441390470327,3.2173795522005117,4,2014
5401,576,3136702,1,25,16,2.5461633887209523,6,0.375,1.0881210411910207,3.2161318691523313,4,2014
5401,577,2704302,1,68,40,1.437385553642081,15,0.375,-2.7831496741076154,1.8813141238904456,2,2014
5401,578,2927408,2,64,32,4.49931270711747,5,0.15625,,3.752265730568988,4,2014
5401,579,2507507,1,20,15,1.4630120664567157,5,0.3333333333333333,1.1066196990902804,2.682528881221023,3,2014
5401,580,2611606,1,63,49,3.2725173170148367,28,0.5714285714285714,-3.9682809492167386,2.2450918148661385,3,2014
5401,581,4314902,2,186,91,3.173734062177813,36,0.3956043956043956,0.20883889565919964,2.938622950165987,3,2014
5401,582,4316907,1,18,14,2.698290461935944,3,0.21428571428571427,1.135633959837494,3.139985216627886,4,2014
5401,583,2304400,2,102,60,2.3102472722362526,13,0.21666666666666667,0.06491724551390814,2.5996764402278383,3,2014
5401,584,5205109,1,23,17,1.7215193966767894,9,0.5294117647058824,-0.11361443465267958,2.714663117738101,3,2014
5401,584,5208707,2,32,28,3.3906521075064653,10,0.35714285714285715,1.239724672111936,3.094474880910772,4,2014
