area,ies,curso,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
21,1494,1158692,3205309,32,27,3.653886962921,26.0,0.962962962963,2.831528700886,3.759385184,4,2017
21,1510,1205519,4216602,30,30,3.013024732957,15.0,0.5,2.933884644111,3.236219869,4,2017
21,1513,52889,2211001,125,110,2.271774666846,90.0,0.818181818182,-0.318028024248,1.966597185,3,2017
21,1542,22056,3306305,82,81,1.723854134263,61.0,0.753086419753,-0.722098932394,2.177736565,3,2017
21,1556,1166032,2304400,16,15,3.544178320575,10.0,0.666666666667,2.824461764337,3.524652195,4,2017
21,1557,37286,3106200,187,153,2.109463103989,106.0,0.692810457516,-0.571986471134,2.366487303,3,2017
21,1559,1181217,3201506,33,33,2.691662605693,28.0,0.848484848485,1.398246700852,3.308866559,4,2017
21,1563,1191051,2211001,104,100,2.133249811052,87.0,0.87,0.000714238715,3.078955776,4,2017
21,1632,1178659,4113700,1,1,,1.0,1.0,,,SC,2017
21,1686,67219,4205407,11,8,1.745294125048,2.0,0.25,-11.61012014276,1.5328256,2,2017
21,1728,88416,1100205,125,108,1.672224729203,83.0,0.768518518519,0.275657145343,2.302280637,3,2017
21,1758,1104881,2933307,76,71,1.968471481445,57.0,0.802816901408,-0.521258059885,2.100077862,3,2017
21,1772,95164,2304400,94,55,1.702437914023,45.0,0.818181818182,-1.648623356438,2.191901227,3,2017
21,1773,1180644,4208401,7,7,2.294894957015,7.0,1.0,1.428482593663,2.769478186,3,2017
21,1775,94975,2604106,213,190,1.6283472326,165.0,0.868421052632,-0.284815170327,2.321044031,3,2017
21,1777,1115425,4206504,70,64,2.67533088908,35.0,0.546875,0.485308186986,2.956169193,4,2017
21,1805,1191950,2607901,14,14,2.718636227704,5.0,0.357142857143,3.67899882423,3.764269341,4,2017
21,1808,1181819,3201506,46,46,3.011312970176,46.0,1.0,-0.112885534416,2.907332899,3,2017
21,1828,48451,3550308,55,55,3.551142527605,39.0,0.709090909091,-0.171707762012,2.764789391,3,2017
21,1836,1258816,3549102,25,25,2.014330116815,14.0,0.56,-0.798458052567,3.115607022,4,2017
21,1885,1154789,2111300,36,36,2.949911774641,33.0,0.916666666667,1.012886348184,3.193715644,4,2017
21,1919,73894,3143302,167,140,1.637231922743,114.0,0.814285714286,-0.572047948655,1.782592802,2,2017
21,1961,90778,3301009,36,7,2.090375834727,6.0,0.857142857143,-1.992225374522,2.09966228,3,2017
21,1984,1109881,3139409,51,50,1.870119036205,41.0,0.82,-0.656441394654,2.392314793,3,2017
21,1988,1139576,4202008,91,81,1.896371298791,52.0,0.641975308642,0.426969732737,2.733949342,3,2017
21,2005,89778,5107909,65,54,2.009311468287,43.0,0.796296296296,-0.119097633309,2.166169506,3,2017
21,2037,54932,2919207,34,32,1.750756188038,22.0,0.6875,-0.699382075786,2.461482453,3,2017
21,2132,97245,1200401,284,102,1.057369309452,80.0,0.78431372549,-0.479856821226,2.429149152,3,2017
21,2135,1045117,2311306,68,66,1.678669749956,60.0,0.909090909091,-0.239653692369,2.354659259,3,2017
